Timestamp,Source,Message Type,Data
1638553897.4963477,Controller,INFO,Beginning execution
1638553902.907222,user,INFO,PUT BREAD IN
1638553902.910872,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553903.1245852,Slicing Interface,ERROR,HAND DETECTED NEAR BLADES
1638553903.1274185,Controller,WARNING,STOPPING EXECUTION
1638553904.9031687,user,INFO,PUT BREAD IN
1638553904.904139,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553906.9074585,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553906.9105432,user,INFO,PUT BREAD IN
1638553908.9071448,user,INFO,PUT BREAD IN
1638553908.909956,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553912.9071457,user,INFO,PUT BREAD IN
1638553912.9094477,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553914.905854,user,INFO,PUT BREAD IN
1638553914.9087749,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553920.9075096,user,INFO,PUT BREAD IN
1638553920.9115732,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553934.9080796,user,INFO,PUT BREAD IN
1638553934.911104,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553944.9020572,user,INFO,PUT BREAD IN
1638553944.9031231,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553948.9041853,user,INFO,PUT BREAD IN
1638553948.9058883,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553950.9041746,user,INFO,PUT BREAD IN
1638553950.9055426,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553960.9059772,user,INFO,PUT BREAD IN
1638553960.9083629,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553962.902193,user,INFO,PUT BREAD IN
1638553962.902897,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553966.902192,user,INFO,PUT BREAD IN
1638553966.9029033,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553970.9036653,user,INFO,PUT BREAD IN
1638553970.9056041,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553974.9073293,user,INFO,PUT BREAD IN
1638553974.9126387,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553982.9030519,user,INFO,PUT BREAD IN
1638553982.9067507,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553990.902851,user,INFO,PUT BREAD IN
1638553990.9060955,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638553998.9036732,user,INFO,PUT BREAD IN
1638553998.905216,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638554004.9067261,user,INFO,PUT BREAD IN
1638554004.9093952,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638554016.9032686,user,INFO,PUT BREAD IN
1638554016.9046037,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1638554020.9039924,user,INFO,PUT BREAD IN
1638554020.90798,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
