Timestamp,Source,Message Type,Data
1639579764.0436742,user,INFO,PUT BREAD IN
1639579764.0463147,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639579768.041549,user,INFO,PUT BREAD IN
1639579768.0458598,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639579768.050646,USER INTERFACE,INFO,CHOOSING BREAD
1639579768.7763162,Controller,INFO,ALL IS WELL
1639579770.041371,user,INFO,PUT BREAD IN
1639579770.045209,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639579770.063123,USER INTERFACE,INFO,CHOOSING BREAD
1639579770.775722,Controller,INFO,Beginning execution
1639579772.0481036,user,INFO,PUT BREAD IN
1639579772.0531864,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639579772.0608766,USER INTERFACE,INFO,CHOOSING BREAD
1639579772.7826304,USER INTERFACE,INFO,STARTING
1639579774.0459697,user,INFO,PUT BREAD IN
1639579774.049261,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639579774.0628662,USER INTERFACE,INFO,CHOOSING BREAD
1639579774.2781456,Bagging Interface,INFO,Successfully bagged White
1639579776.0442317,user,INFO,PUT BREAD IN
1639579776.0481136,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639579776.0617926,USER INTERFACE,INFO,CHOOSING BREAD
1639579776.277508,Bagging Interface,INFO,Successfully bagged White
1639579778.0424101,user,INFO,PUT BREAD IN
1639579778.043866,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639579778.0467734,USER INTERFACE,INFO,CHOOSING BREAD
1639579778.2687364,Bagging Interface,INFO,Successfully bagged White
1639579780.0416834,user,INFO,PUT BREAD IN
1639579780.042356,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639579780.04803,USER INTERFACE,INFO,CHOOSING BREAD
1639579780.268646,Bagging Interface,INFO,Successfully bagged White
1639579782.0373993,user,INFO,PUT BREAD IN
1639579782.0396206,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639579782.0427828,USER INTERFACE,INFO,CHOOSING BREAD
1639579782.2519963,Bagging Interface,INFO,Successfully bagged White
1639579788.0450678,user,INFO,PUT BREAD IN
1639579788.049796,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639579788.0599492,USER INTERFACE,INFO,CHOOSING BREAD
1639579788.261523,Slicing Interface,ERROR,HAND DETECTED NEAR BLADES
1639579788.264013,Controller,WARNING,STOPPING EXECUTION
1639579788.2756915,USER INTERFACE,INFO,SWITCHING TO ERROR
1639579800.0498335,user,INFO,PUT BREAD IN
