Timestamp,Source,Message Type,Data
1639688221.8774037,user,INFO,PUT BREAD IN
1639688221.8780704,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688225.878856,user,INFO,PUT BREAD IN
1639688225.8800752,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688227.8790529,user,INFO,PUT BREAD IN
1639688227.881179,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688227.8849869,USER INTERFACE,INFO,CHOOSING BREAD
1639688228.5189447,Controller,INFO,ALL IS WELL
1639688229.8800805,user,INFO,PUT BREAD IN
1639688229.8812118,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688229.8856916,USER INTERFACE,INFO,CHOOSING BREAD
1639688230.52079,Controller,INFO,Beginning execution
1639688231.8789623,user,INFO,PUT BREAD IN
1639688231.879995,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688231.883175,USER INTERFACE,INFO,CHOOSING BREAD
1639688232.5250986,USER INTERFACE,INFO,STARTING
1639688358.359071,Controller,INFO,ALL IS WELL
1639688360.3614864,Controller,INFO,Beginning execution
1639688361.7870169,user,INFO,PUT BREAD IN
1639688361.7888465,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688361.79079,USER INTERFACE,INFO,CHOOSING BREAD
1639688362.362725,USER INTERFACE,INFO,STARTING
1639688363.7860305,user,INFO,PUT BREAD IN
1639688363.7876723,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688363.7918098,USER INTERFACE,INFO,CHOOSING BREAD
1639688363.997226,Bagging Interface,INFO,Successfully bagged White
1639688365.7871969,user,INFO,PUT BREAD IN
1639688365.7881112,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688365.7926712,USER INTERFACE,INFO,CHOOSING BREAD
1639688365.9975324,Bagging Interface,INFO,Successfully bagged White
1639688375.7880695,user,INFO,PUT BREAD IN
1639688375.7902153,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688375.7945564,USER INTERFACE,INFO,CHOOSING BREAD
1639688375.999035,Bagging Interface,INFO,Successfully bagged White
1639688377.7887828,user,INFO,PUT BREAD IN
1639688377.7903388,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688377.7951636,USER INTERFACE,INFO,CHOOSING BREAD
1639688377.997878,Slicing Interface,ERROR,HAND DETECTED NEAR BLADES
1639688377.9992805,Controller,WARNING,STOPPING EXECUTION
1639688379.788006,user,INFO,PUT BREAD IN
1639688379.7892663,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688379.7922745,USER INTERFACE,INFO,CHOOSING BREAD
1639688487.9194,Controller,INFO,ALL IS WELL
1639688489.9193347,Controller,INFO,Beginning execution
1639688491.922378,USER INTERFACE,INFO,STARTING
1639688495.1878982,user,INFO,PUT BREAD IN
1639688495.1892548,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688495.1951618,USER INTERFACE,INFO,CHOOSING BREAD
1639688495.3995008,Bagging Interface,INFO,Successfully bagged White
1639688499.1867335,user,INFO,PUT BREAD IN
1639688499.1879258,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688499.1942348,USER INTERFACE,INFO,CHOOSING BREAD
1639688499.3990002,Bagging Interface,INFO,Successfully bagged White
1639688503.1877637,user,INFO,PUT BREAD IN
1639688503.1896906,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688503.1972497,USER INTERFACE,INFO,CHOOSING BREAD
1639688503.4020905,Bagging Interface,INFO,Successfully bagged White
1639688507.186851,user,INFO,PUT BREAD IN
1639688507.1886835,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688507.1934752,USER INTERFACE,INFO,CHOOSING BREAD
1639688507.3983772,Bagging Interface,INFO,Successfully bagged White
1639688517.188855,user,INFO,PUT BREAD IN
1639688517.190849,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688517.1942897,USER INTERFACE,INFO,CHOOSING BREAD
1639688517.3996966,Bagging Interface,INFO,Successfully bagged White
1639688521.1893084,user,INFO,PUT BREAD IN
1639688521.1926064,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688521.1948898,USER INTERFACE,INFO,CHOOSING BREAD
1639688521.3994942,Bagging Interface,INFO,Successfully bagged White
1639688533.188893,user,INFO,PUT BREAD IN
1639688533.1907804,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688533.1945376,USER INTERFACE,INFO,CHOOSING BREAD
1639688533.3981552,Bagging Interface,INFO,Successfully bagged White
1639688541.1874063,user,INFO,PUT BREAD IN
1639688541.1884177,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688541.1902895,USER INTERFACE,INFO,CHOOSING BREAD
1639688541.393927,Bagging Interface,INFO,Successfully bagged White
1639688549.1876526,user,INFO,PUT BREAD IN
1639688549.188919,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688549.1938806,USER INTERFACE,INFO,CHOOSING BREAD
1639688549.3992045,Bagging Interface,INFO,Successfully bagged White
1639688551.1863356,user,INFO,PUT BREAD IN
1639688551.1872272,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688551.1903903,USER INTERFACE,INFO,CHOOSING BREAD
1639688551.395833,Bagging Interface,INFO,Successfully bagged White
1639688563.1868958,user,INFO,PUT BREAD IN
1639688563.1877627,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688563.1907659,USER INTERFACE,INFO,CHOOSING BREAD
1639688563.395093,Bagging Interface,INFO,Successfully bagged White
1639688565.188467,user,INFO,PUT BREAD IN
1639688565.1898067,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688565.193688,USER INTERFACE,INFO,CHOOSING BREAD
1639688565.3996341,Bagging Interface,INFO,Successfully bagged White
1639688567.1879158,user,INFO,PUT BREAD IN
1639688567.1892214,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688567.1914601,USER INTERFACE,INFO,CHOOSING BREAD
1639688567.3948207,Bagging Interface,INFO,Successfully bagged White
1639688575.1869602,user,INFO,PUT BREAD IN
1639688575.1882432,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688575.1915615,USER INTERFACE,INFO,CHOOSING BREAD
1639688575.3933353,Slicing Interface,ERROR,HAND DETECTED NEAR BLADES
1639688575.3942294,Controller,WARNING,STOPPING EXECUTION
1639688575.3974059,USER INTERFACE,INFO,SWITCHING TO ERROR
1639688971.8071609,Controller,INFO,ALL IS WELL
1639688973.8084393,Controller,INFO,Beginning execution
1639688975.1398427,user,INFO,PUT BREAD IN
1639688975.1435072,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688975.147485,USER INTERFACE,INFO,CHOOSING BREAD
1639688975.8104637,USER INTERFACE,INFO,STARTING
1639688981.141849,user,INFO,PUT BREAD IN
1639688981.1429687,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688981.145861,USER INTERFACE,INFO,CHOOSING BREAD
1639688981.3500981,Bagging Interface,INFO,Successfully bagged White
1639688989.1395233,user,INFO,PUT BREAD IN
1639688989.1407397,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639688989.1437624,USER INTERFACE,INFO,CHOOSING BREAD
