Timestamp,Source,Message Type,Data
1639933760.7721395,user,INFO,PUT BREAD IN
1639933760.7744217,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933760.7798953,USER INTERFACE,INFO,CHOOSING BREAD
1639933763.3999574,Controller,INFO,ALL IS WELL
1639933765.401803,Controller,INFO,Beginning execution
1639933767.4061968,USER INTERFACE,INFO,STARTING
1639933831.58874,user,INFO,PUT BREAD IN
1639933831.59354,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933831.5972934,USER INTERFACE,INFO,CHOOSING BREAD
1639933836.21671,Controller,INFO,ALL IS WELL
1639933875.6767128,user,INFO,PUT BREAD IN
1639933875.679939,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933875.6918392,USER INTERFACE,INFO,CHOOSING BREAD
1639933880.3128831,Controller,INFO,ALL IS WELL
1639933882.3154163,Controller,INFO,Beginning execution
1639933884.3193648,USER INTERFACE,INFO,STARTING
1639933889.6762228,user,INFO,PUT BREAD IN
1639933889.6791098,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933889.6846879,USER INTERFACE,INFO,CHOOSING BREAD
1639933893.677522,user,INFO,PUT BREAD IN
1639933893.6809578,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933893.6842651,USER INTERFACE,INFO,CHOOSING BREAD
1639933895.6786828,user,INFO,PUT BREAD IN
1639933895.6828644,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933895.688822,USER INTERFACE,INFO,CHOOSING BREAD
1639933907.680095,user,INFO,PUT BREAD IN
1639933907.6831615,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933907.694614,USER INTERFACE,INFO,CHOOSING BREAD
1639933919.6773207,user,INFO,PUT BREAD IN
1639933919.6798215,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933919.6897292,USER INTERFACE,INFO,CHOOSING BREAD
1639933921.6775937,user,INFO,PUT BREAD IN
1639933921.6803687,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933921.6904218,USER INTERFACE,INFO,CHOOSING BREAD
1639933923.6763952,user,INFO,PUT BREAD IN
1639933923.6793523,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933923.6850996,USER INTERFACE,INFO,CHOOSING BREAD
1639933941.6755826,user,INFO,PUT BREAD IN
1639933941.677839,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933941.687438,USER INTERFACE,INFO,CHOOSING BREAD
1639933945.6787474,user,INFO,PUT BREAD IN
1639933945.683139,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933945.6866677,USER INTERFACE,INFO,CHOOSING BREAD
1639933957.6788828,user,INFO,PUT BREAD IN
1639933957.6814923,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933957.691786,USER INTERFACE,INFO,CHOOSING BREAD
1639933963.6764529,user,INFO,PUT BREAD IN
1639933963.680165,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933963.6896226,USER INTERFACE,INFO,CHOOSING BREAD
1639933977.6790278,user,INFO,PUT BREAD IN
1639933977.6827352,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933977.6917486,USER INTERFACE,INFO,CHOOSING BREAD
1639933981.6767607,user,INFO,PUT BREAD IN
1639933981.679739,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933981.6883154,USER INTERFACE,INFO,CHOOSING BREAD
1639933985.6768305,user,INFO,PUT BREAD IN
1639933985.679949,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933985.6897106,USER INTERFACE,INFO,CHOOSING BREAD
1639933987.6773186,user,INFO,PUT BREAD IN
1639933987.680636,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933987.684945,USER INTERFACE,INFO,CHOOSING BREAD
1639933991.673312,user,INFO,PUT BREAD IN
1639933991.6743395,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933991.6782017,USER INTERFACE,INFO,CHOOSING BREAD
1639933993.6763926,user,INFO,PUT BREAD IN
1639933993.6792932,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639933993.684752,USER INTERFACE,INFO,CHOOSING BREAD
1639934036.1280425,Controller,INFO,ALL IS WELL
1639934037.496524,user,INFO,PUT BREAD IN
1639934037.5003955,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639934037.509956,USER INTERFACE,INFO,CHOOSING BREAD
1639934038.1295092,Controller,INFO,Beginning execution
1639934040.1346748,USER INTERFACE,INFO,STARTING
1639934041.4972646,user,INFO,PUT BREAD IN
1639934041.5013285,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639934041.5049715,USER INTERFACE,INFO,CHOOSING BREAD
1639934051.495774,user,INFO,PUT BREAD IN
1639934051.4983246,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639934051.5022461,USER INTERFACE,INFO,CHOOSING BREAD
1639934053.4974608,user,INFO,PUT BREAD IN
1639934053.5001583,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639934053.5049143,USER INTERFACE,INFO,CHOOSING BREAD
1639934057.4967694,user,INFO,PUT BREAD IN
1639934057.5008075,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
