Timestamp,Source,Message Type,Data
1639825773.5876977,user,INFO,PUT BREAD IN
1639825773.5909388,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639825778.2185304,Controller,INFO,ALL IS WELL
1639825780.2207265,Controller,INFO,Beginning execution
1639825782.2257445,USER INTERFACE,INFO,STARTING
1639825783.58778,user,INFO,PUT BREAD IN
1639825783.592017,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
1639825783.598578,USER INTERFACE,INFO,CHOOSING BREAD
1639825783.8106592,Bagging Interface,INFO,Successfully bagged White
