Timestamp,Source,Message Type,Data
1637082900.2195454,Controller,INFO,Beginning execution
1637082903.418731,Conveyor Interface,INFO,BREAD READY TO BE PACKAGED
1637082903.4287558,Controller,INFO,BREAD PACKAGED
1637082904.4182978,Conveyor Interface,INFO,BREAD READY TO BE PACKAGED
1637082904.427,Controller,INFO,BREAD PACKAGED
1637082904.918869,Conveyor Interface,INFO,BREAD READY TO BE PACKAGED
1637082904.929121,Controller,INFO,BREAD PACKAGED
1637082907.4186828,Conveyor Interface,INFO,BREAD READY TO BE PACKAGED
1637082907.4279363,Controller,INFO,BREAD PACKAGED
1637082907.5166526,Slicing Interface,ERROR,HAND DETECTED NEAR BLADES
1637082907.5189435,Controller,WARNING,STOPPING EXECUTION
