Timestamp,Source,Message Type,Data
2022-01-19 11:07:17.599111,Controller,INFO,USER UP
2022-01-19 11:07:17.616269,Controller,INFO,BAGGING UP
2022-01-19 11:07:17.627604,Controller,INFO,SLICER UP
2022-01-19 11:07:17.643171,USER INTERFACE,INFO,STARTING
2022-01-19 11:07:17.654209,Controller,INFO,LOAF Q UP
2022-01-19 11:08:11.899695,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-19 11:08:11.930413,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-19 11:08:41.455069,USER INTERFACE,INFO,WINDOW CLOSED
2022-01-19 11:08:41.486725,USER INTERFACE,INFO,SHUTTING
2022-01-19 11:08:41.512385,USER INTERFACE,INFO,User going down
2022-01-19 11:14:22.529036,Controller,INFO,USER UP
2022-01-19 11:14:22.545771,Controller,INFO,BAGGING UP
2022-01-19 11:14:22.558918,Controller,INFO,SLICER UP
2022-01-19 11:14:22.568876,USER INTERFACE,INFO,STARTING
2022-01-19 11:14:22.580254,Controller,INFO,LOAF Q UP
2022-01-19 11:15:47.680786,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-19 11:15:47.689032,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-19 11:19:12.560724,Controller,INFO,USER UP
2022-01-19 11:19:12.593093,Controller,INFO,BAGGING UP
2022-01-19 11:19:12.607896,USER INTERFACE,INFO,STARTING
2022-01-19 11:19:12.639168,Controller,INFO,SLICER UP
2022-01-19 11:19:12.654277,Controller,INFO,LOAF Q UP
2022-01-19 11:20:37.328632,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-19 11:20:37.350795,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-19 11:22:44.849964,USER INTERFACE,INFO,User going down
2022-01-19 11:23:09.994241,Controller,INFO,USER UP
2022-01-19 11:23:10.015979,Controller,INFO,BAGGING UP
2022-01-19 11:23:10.030687,Controller,INFO,SLICER UP
2022-01-19 11:23:10.037217,Controller,INFO,LOAF Q UP
2022-01-19 11:23:10.043890,USER INTERFACE,INFO,STARTING
2022-01-19 11:24:34.058346,USER INTERFACE,INFO,CHOOSING BREAD
