Timestamp,Source,Message Type,Data
2022-01-15 17:22:20.334034,Controller,WARNING,TRYING ASYNC CLOSE OF USER
2022-01-15 17:22:46.079079,user,INFO,PUT BREAD IN
2022-01-15 17:22:46.080270,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:22:48.940261,user,INFO,PUT BREAD IN
2022-01-15 17:22:48.942828,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:22:48.944244,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:22:49.003407,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:22:51.026259,Controller,INFO,USER UP
2022-01-15 17:22:56.046964,Bagging Interface,ERROR,COULD NOT START SERVER FOR WHEEL CONTROL
2022-01-15 17:22:56.171036,Controller,INFO,BAGGING UP
2022-01-15 17:23:00.371089,user,INFO,PUT BREAD IN
2022-01-15 17:23:00.373715,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:23:00.374613,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:23:00.375961,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:23:03.227667,user,INFO,PUT BREAD IN
2022-01-15 17:23:03.231045,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:23:03.233716,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:23:03.238052,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:23:08.806727,USER INTERFACE,INFO,WINDOW CLOSED
2022-01-15 17:23:08.812940,USER INTERFACE,INFO,SHUTTING
2022-01-15 17:23:08.814613,USER INTERFACE,INFO,User going down
2022-01-15 17:23:08.818545,Controller,WARNING,TRYING ASYNC CLOSE OF SLICER
2022-01-15 17:24:47.902763,user,INFO,PUT BREAD IN
2022-01-15 17:24:50.767063,user,INFO,PUT BREAD IN
2022-01-15 17:24:50.770233,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:24:50.771679,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:24:50.773685,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:24:52.972550,Controller,INFO,USER UP
2022-01-15 17:24:57.902107,Bagging Interface,ERROR,COULD NOT START SERVER FOR WHEEL CONTROL
2022-01-15 17:24:58.117449,Controller,INFO,BAGGING UP
2022-01-15 17:24:59.338291,user,INFO,PUT BREAD IN
2022-01-15 17:24:59.340730,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:24:59.345208,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:24:59.351083,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:25:02.195286,user,INFO,PUT BREAD IN
2022-01-15 17:25:02.197296,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:25:02.198225,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:25:02.199917,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:25:05.053119,user,INFO,PUT BREAD IN
2022-01-15 17:25:05.056093,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:25:05.057048,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:25:05.058509,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:25:35.126142,USER INTERFACE,INFO,User going down
2022-01-15 17:45:24.952755,Controller,INFO,USER UP
2022-01-15 17:45:25.590243,user,INFO,PUT BREAD IN
2022-01-15 17:45:25.593685,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:45:25.596455,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:45:25.604285,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:45:29.868568,Bagging Interface,ERROR,COULD NOT START SERVER FOR WHEEL CONTROL
2022-01-15 17:45:30.096944,Controller,INFO,BAGGING UP
2022-01-15 17:45:31.304219,user,INFO,PUT BREAD IN
2022-01-15 17:45:31.308645,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:45:31.311438,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:45:31.315745,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:45:31.385871,USER INTERFACE,INFO,WINDOW CLOSED
2022-01-15 17:45:31.392466,USER INTERFACE,INFO,SHUTTING
2022-01-15 17:45:31.400510,USER INTERFACE,INFO,User going down
2022-01-15 17:45:31.407151,Controller,WARNING,TRYING ASYNC CLOSE OF SLICER
2022-01-15 17:50:29.963111,user,INFO,PUT BREAD IN
2022-01-15 17:50:29.964964,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:50:29.967962,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:50:29.971027,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:50:32.085641,Controller,INFO,USER UP
2022-01-15 17:50:32.816119,user,INFO,PUT BREAD IN
2022-01-15 17:50:32.819534,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:50:32.822862,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:50:32.827825,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:50:35.672093,user,INFO,PUT BREAD IN
2022-01-15 17:50:35.675596,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-15 17:50:35.677980,USER INTERFACE,INFO,CHOOSING BREAD
2022-01-15 17:50:35.690808,USER INTERFACE,ERROR,TIMEOUT!! start ss
2022-01-15 17:50:37.084159,Bagging Interface,ERROR,COULD NOT START SERVER FOR WHEEL CONTROL
2022-01-15 17:50:37.231148,Controller,INFO,BAGGING UP
2022-01-15 17:50:38.527852,user,INFO,PUT BREAD IN
