Timestamp,Source,Message Type,Data
2022-01-14 10:43:24.563164,Ferris Wheel Interface,INFO,New pid err 15.709999999999999 error camera is 15.709999999999999 d_angle is 0
2022-01-14 10:43:37.203148,Ferris Wheel Interface,INFO,wrapped around 1 9.426814692820413
2022-01-14 10:43:37.207924,Ferris Wheel Interface,INFO,flag_+1 0.031415926535897754
2022-01-14 10:43:37.212772,Ferris Wheel Interface,INFO,New pid err 9.395398766284515 error camera is 9.426814692820413 d_angle is 0.031415926535897754
2022-01-14 10:43:47.285941,Ferris Wheel Interface,INFO,wrapped around 1 3.1436293856408266
2022-01-14 10:43:47.306674,Ferris Wheel Interface,INFO,flag_+1 0.031415926535897754
2022-01-14 10:43:47.311682,Ferris Wheel Interface,INFO,New pid err 3.112213459104929 error camera is 3.1436293856408266 d_angle is 0.031415926535897754
2022-01-14 10:48:22.365187,user,INFO,PUT BREAD IN
2022-01-14 10:49:35.961366,user,INFO,PUT BREAD IN
2022-01-14 10:49:37.236516,Ferris Wheel Interface,INFO,New pid err 15.709999999999999 error camera is 15.709999999999999 d_angle is 0
2022-01-14 10:49:41.646743,user,INFO,PUT BREAD IN
2022-01-14 10:49:41.650515,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:49:44.505851,user,INFO,PUT BREAD IN
2022-01-14 10:49:44.509401,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:49:45.886299,Bagging Interface,ERROR,COULD NOT START SERVER FOR WHEEL CONTROL
2022-01-14 10:49:47.359491,user,INFO,PUT BREAD IN
2022-01-14 10:49:47.362847,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:49:48.872079,Ferris Wheel Interface,INFO,wrapped around 1 9.426814692820413
2022-01-14 10:49:48.878593,Ferris Wheel Interface,INFO,flag_+1 0.031415926535897754
2022-01-14 10:49:48.883351,Ferris Wheel Interface,INFO,New pid err 9.395398766284515 error camera is 9.426814692820413 d_angle is 0.031415926535897754
2022-01-14 10:49:58.019711,Ferris Wheel Interface,INFO,wrapped around 1 3.1436293856408266
2022-01-14 10:49:58.025000,Ferris Wheel Interface,INFO,flag_+1 0.031415926535897754
2022-01-14 10:49:58.029893,Ferris Wheel Interface,INFO,New pid err 3.112213459104929 error camera is 3.1436293856408266 d_angle is 0.031415926535897754
2022-01-14 10:50:04.503298,user,INFO,PUT BREAD IN
2022-01-14 10:50:04.506556,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:50:13.075977,user,INFO,PUT BREAD IN
2022-01-14 10:50:13.080060,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:50:30.218872,user,INFO,PUT BREAD IN
2022-01-14 10:50:30.222993,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:50:33.075667,user,INFO,PUT BREAD IN
2022-01-14 10:50:33.079709,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:50:41.647604,user,INFO,PUT BREAD IN
2022-01-14 10:50:41.651114,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:50:43.234399,Controller,WARNING,TRYING ASYNC CLOSE OF USER
2022-01-14 10:50:43.308675,Controller,WARNING,TRYING ASYNC CLOSE OF SLICER
2022-01-14 10:51:54.581661,Controller,WARNING,TRYING ASYNC CLOSE OF USER
2022-01-14 10:52:23.077060,Bagging Interface,ERROR,COULD NOT START SERVER FOR WHEEL CONTROL
2022-01-14 10:52:26.651500,Controller,WARNING,TRYING ASYNC CLOSE OF USER
2022-01-14 10:52:44.727474,user,INFO,PUT BREAD IN
2022-01-14 10:52:44.731142,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:52:47.586432,user,INFO,PUT BREAD IN
2022-01-14 10:52:47.591063,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:52:51.988755,Bagging Interface,ERROR,COULD NOT START SERVER FOR WHEEL CONTROL
2022-01-14 10:53:01.871313,user,INFO,PUT BREAD IN
2022-01-14 10:53:01.874931,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:53:13.300525,user,INFO,PUT BREAD IN
2022-01-14 10:53:13.304104,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:53:16.155962,user,INFO,PUT BREAD IN
2022-01-14 10:53:16.159120,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:53:19.014634,user,INFO,PUT BREAD IN
2022-01-14 10:53:19.018301,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:53:21.870993,user,INFO,PUT BREAD IN
2022-01-14 10:53:21.874997,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:53:22.966325,Controller,WARNING,TRYING ASYNC CLOSE OF USER
2022-01-14 10:54:22.256245,user,INFO,PUT BREAD IN
2022-01-14 10:54:24.058769,Ferris Wheel Interface,INFO,New pid err 15.709999999999999 error camera is 15.709999999999999 d_angle is 0
2022-01-14 10:54:27.960057,user,INFO,PUT BREAD IN
2022-01-14 10:54:27.963907,Controller,INFO,"USER PUT BREAD IN, ADDING TO QUEUE"
2022-01-14 10:54:32.430945,Bagging Interface,ERROR,COULD NOT START SERVER FOR WHEEL CONTROL
2022-01-14 10:54:36.240578,Ferris Wheel Interface,INFO,wrapped around 1 9.426814692820413
2022-01-14 10:54:36.245918,Ferris Wheel Interface,INFO,flag_+1 0.031415926535897754
2022-01-14 10:54:36.250656,Ferris Wheel Interface,INFO,New pid err 9.395398766284515 error camera is 9.426814692820413 d_angle is 0.031415926535897754
2022-01-14 10:54:45.004326,Ferris Wheel Interface,INFO,wrapped around 1 3.1436293856408266
2022-01-14 10:54:45.010391,Ferris Wheel Interface,INFO,flag_+1 0.031415926535897754
2022-01-14 10:54:45.015136,Ferris Wheel Interface,INFO,New pid err 3.112213459104929 error camera is 3.1436293856408266 d_angle is 0.031415926535897754
